md5id,date,stationid,aqi,so2,so2_24h,no2,no2_24h,co,co_24h,o3,o3_24h,o3_8h,o3_8h_24h,pm10,pm10_24h,pm2_5,pm2_5_24h
0002aafad5907f005e2b2677942b5001,"2014-11-13 07:00",69202bf5273b835db827c8c10376ff09,148.0,0.0,56.0,0.0,21.0,0.0,0.417,0.0,74.0,3.0,53.0,242.0,112.0,113.0,39.0
0002b0a9c0e0c483489288cc76ce1f86,"2013-07-31 18:00",7faa3abe01b7bb722a656fe9090b11a4,164.0,0.0,NULL,0.0,NULL,0.338,NULL,186.0,NULL,78.75,NULL,228.0,NULL,125.0,NULL
0002b3f8093034bc4e23584b78779e44,"2015-06-24 23:00",536b3cd90f3a4a25e240a13cd36f23f2,149.0,8.8,NULL,46.7,NULL,0.9,NULL,70.0,NULL,NULL,NULL,98.5,128.1,NULL,113.6
0002b464026a1f3a73cb5b2dcb8bf9c7,"2013-11-17 00:00",1247eeb78f397abc498abed536e33be0,55.0,26.0,NULL,11.0,NULL,0.527,NULL,44.0,NULL,16.0,NULL,60.0,NULL,16.0,NULL
0002b650ea6c3a99b1c3390265a6a622,"2016-03-07 22:00",86da465423ef286a3972323373cabdbd,52.0,0.006,NULL,0.004,NULL,0.324,NULL,0.081,NULL,0.082,NULL,0.053,0.065,0.018,0.016
0002b76829b0a82dfe9998d19529fc58,"2013-09-10 12:00",a2fedaa87ebd1d14586112480f4f49f8,0.0,0.0,NULL,0.0,NULL,0.0,NULL,0.0,NULL,NULL,NULL,0.0,NULL,0.0,NULL
0002cb0219f91df09b256ec85815de8f,"2013-04-02 07:00",698021aef2993f71189e2f161a19fc61,189.0,0.0,NULL,0.0,NULL,0.0,NULL,0.0,NULL,NULL,NULL,311.0,NULL,154.0,NULL
0002cb69c03a2b74399a5804094f85f2,"2014-01-13 07:00",9d8782ee880858f4051c550c906feb00,94.0,89.0,NULL,72.0,NULL,1.941,NULL,10.0,NULL,53.875,NULL,123.0,NULL,70.0,NULL
0002d3b8e21308e122f29acdc4fd7e6b,"2013-03-20 11:00",0c1c4e9fbb070a008e72459003b0f89b,52.0,16.0,NULL,11.0,NULL,0.0,NULL,0.0,NULL,184.0,NULL,56.0,NULL,37.0,NULL
0002dae1b5997068ce80226903560c57,"2016-02-04 21:00",6db5f5c4ce32f22ea9fe7e9801f68148,92.0,0.0,NULL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,0.0,NULL,0.0
0002ece4496af63fdc40327b527d9fca,"2013-10-18 18:00",698021aef2993f71189e2f161a19fc61,167.0,27.0,NULL,69.0,NULL,0.697,NULL,96.0,NULL,51.625,NULL,176.0,NULL,127.0,NULL
0002fbc7bce5e5218434a872e8d77b11,"2014-04-09 08:00",12be0ec7f2c873f2f0bf8654e512a54c,169.0,26.0,NULL,70.0,NULL,1.861,NULL,30.0,NULL,79.125,NULL,214.0,NULL,128.0,NULL
0002fcfd413079cb02d9655b6e2810bf,"2016-02-01 13:00",87616a32adc20f54c3233d3e5823078c,28.0,4.0,NULL,2.0,NULL,0.3,NULL,85.0,NULL,85.0,NULL,154.0,27.0,NULL,8.0
000309865fb8f07b99a189615e83cf32,"2013-03-24 08:00",7caee61a251588045401c9a95a288519,22.0,12.0,NULL,17.0,NULL,0.0,NULL,0.0,NULL,NULL,NULL,0.0,NULL,13.0,NULL
0003099087324391f80054d45e36a44c,"2016-03-12 00:00",f15045205944d81f5d8f504f9975471a,60.0,9.0,33.0,73.0,69.0,1.636,2.088,13.0,62.0,12.0,47.0,70.0,92.0,40.0,40.0
00030b3c1c4ce605fc5aae3d4c084d40,"2014-01-31 14:00",b7f3b18d6fc1453b6ba81e7b778905fd,143.0,50.0,NULL,44.0,NULL,1.078,NULL,17.0,NULL,60.25,NULL,145.0,NULL,109.0,NULL
00030f75358682316117a0bc84338ba7,"2015-09-04 17:00",4945d7ad6a1760d639e3c6f331bba3ed,30.0,7.0,9.0,9.0,8.0,0.503,0.435,46.0,69.0,51.0,64.0,30.0,63.0,15.0,37.0
00031502f54b5e4dc68fd8a112af0a85,"2015-06-16 20:00",c31eb3ed6afd7a70b4de5e0cee7e5c8a,145.0,2.0,NULL,43.0,NULL,0.7,NULL,236.0,NULL,NULL,NULL,322.0,183.0,NULL,111.0
000317f1d721e2393d0d186110f55d1c,"2014-03-22 18:00",83d4be1a1f38b9d23b81697baa3eee44,500.0,96.0,NULL,101.0,NULL,3.509,NULL,64.0,NULL,20.25,NULL,756.0,NULL,148.0,NULL
00031807261047253935c2f89da05e8a,"2013-06-27 18:00",12be0ec7f2c873f2f0bf8654e512a54c,117.0,27.0,NULL,24.0,NULL,0.655,NULL,234.0,NULL,98.5,NULL,75.0,NULL,33.0,NULL
000318c5033257898e87e9be9bd5253f,"2014-02-27 11:00",ad2ef8ed6b7af8fddd7ad16bcbc351ab,25.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.0,5.0,NULL,18.0
00031d86c22b2772b712d781758415d5,"2016-02-02 10:00",23d1a07cb020f657fae41c71ccdef5b6,39.0,57.0,39.0,36.0,42.0,1.654,3.214,29.0,95.0,16.0,78.0,39.0,135.0,22.0,129.0
00031ed98022637144aeaf38799091f8,"2016-03-28 03:00",f2a688b24b9710ee9a051509e4351e31,109.0,0.0,NULL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,0.0,0.0,0.0
000322b96762c168845a76c2343815b4,"2013-06-30 22:00",96434ebae0cd14bddcedf3babcb3eaa2,135.0,77.0,NULL,42.0,NULL,0.591,NULL,90.0,NULL,82.375,NULL,180.0,NULL,103.0,NULL
000328f6479f3a9737b6b0a9b6b31ac5,"2013-10-27 17:00",dc2c6e8e09829bb34a4fe44a9cf27cd2,289.0,63.0,NULL,117.0,NULL,2.115,NULL,13.0,NULL,10.0,NULL,388.0,NULL,239.0,NULL
000329cec2bae5bf42a0133565a72fee,"2016-02-06 22:00",609e2ae8ec57e41ac33df702ca2b01e7,69.0,0.0,NULL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,0.0,NULL,0.0
00032bce7ce77bf315bd9f527ea1bfe0,"2016-03-12 22:00",db92088e611d3c13f5fb682a343e4302,119.0,0.0,NULL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,0.0,0.0,0.0
000332b4800f10fa08340290705f9d10,"2016-01-22 08:00",f91a9bd8fb7bbf211b95516e2c0ad27c,38.0,0.0,NULL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,0.0,NULL,0.0
000345c642cc699175013d914fe09dbe,"2015-03-16 16:00",1507ba8a453b6a988dd0d7b77619b0e1,196.0,44.4,NULL,79.6,NULL,1.8,NULL,45.3,NULL,NULL,NULL,329.6,263.0,NULL,147.2
00034689f800774c699e31bd2c7f3e62,"2014-09-16 15:00",e340662f5c5b9f8ab78c43f2ab6b821c,53.0,24.0,36.0,18.0,54.0,1.668,1.833,108.0,108.0,67.0,67.0,0.0,83.0,37.0,58.0
000349b7e0dcc1f2ca2a8c278ad1c81f,"2014-03-11 07:00",c7a591b5b4707daed0b0b192093116ef,156.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,186.0,155.0,NULL,120.0
00034b2cd7bfc5e0271061ebfc48e61a,"2016-01-23 10:00",d58e730b890c5afc726f64e8c808f767,112.0,0.0,NULL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,0.0,NULL,0.0
00034da53fff2fd726d1a3eb30cda802,"2013-12-02 23:00",de7a21fdc9f90fc38e6d2c474e906d2a,282.0,0.0,NULL,148.0,NULL,2.854,NULL,9.0,NULL,40.625,NULL,337.0,NULL,232.0,NULL
00034f1daecd510c6cf57304d76587c4,"2016-03-15 03:00",328cbee75858fde3bfee5eefe02ab8f0,124.0,0.0,NULL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,0.0,0.0,0.0
00035012c432774b6a9da608682d044d,"2014-11-14 17:00",5cf6e358eb20ebdffea57200c74fc231,82.0,9.9,NULL,40.6,NULL,0.3,NULL,37.8,NULL,NULL,NULL,30.0,95.1,NULL,60.3
000350a58acd00ce071472dcd24f3be8,"2016-01-30 15:00",f3f6bd1ae2761743db72e9ec3e6f81f1,65.0,0.053,NULL,0.035,NULL,0.871,NULL,0.055,NULL,0.036,NULL,0.068,0.094,NULL,0.067
000353c1fecdac7fa9a676793fa0dfd2,"2014-12-08 16:00",4b3d64db14b9b3da3e00ca4ca28c44c5,52.0,40.0,10.0,44.0,26.0,0.7,0.75,50.0,71.0,51.0,68.0,53.0,29.0,33.0,18.0
000353c4bcbaccee7b29403967a667d5,"2016-01-15 05:00",10cd85a0d754488f6351ba3acd42aa75,263.0,146.0,95.0,101.0,95.0,5.092,3.488,2.0,26.0,2.0,15.0,319.0,217.0,213.0,140.0
000367879916ebecc1cf35e0877ee479,"2014-09-22 19:00",2640526b36025c9a3fc6e8a9e7ccd5d4,127.0,22.0,28.0,86.0,88.0,0.415,1.422,49.0,117.0,84.0,84.0,157.0,314.0,96.0,188.0
00036f1d2601cab245e9ed8d22365163,"2015-02-05 15:00",9f066f730c15a84982d3c1e0cc275d7c,26.0,6.7,NULL,6.2,NULL,0.3,NULL,81.7,NULL,NULL,NULL,NULL,24.4,NULL,8.4
00037038a2a3b1c66000c7d901d48cb6,"2016-03-11 12:00",12be0ec7f2c873f2f0bf8654e512a54c,53.0,38.0,72.0,38.0,52.0,0.873,2.217,35.0,54.0,15.0,47.0,55.0,94.0,20.0,37.0
000376f0591b459b0cd8e30e1b3f2205,"2013-07-08 15:00",52c489797b1a88e14f80b10f8908a458,92.0,8.0,NULL,6.0,NULL,3.311,NULL,194.0,NULL,142.0,NULL,84.0,NULL,53.0,NULL
